Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:07:14:50, 0, 163093, 320812, 581031, 9183208, -21404586, -7648857, 
00:07:14:62, 0, 117687, 205828, 610734, 15312981, -33244284, -7916032, 
00:07:14:85, 0, -42953, -372843, 301140, 24572526, -43450394, -11290079, 
00:07:14:97, 0, 320453, -389671, -187578, 25603060, -38427492, -15885500, 
00:07:14:113, 0, 387718, -490406, 293250, 26145045, -46534364, -19022906, 
00:07:14:125, 0, 88671, 752140, 3732046, 12053438, -33625963, -26557259, 
00:07:14:136, 0, -318437, 74515, 1351718, 2404580, -36625964, -31931306, 
00:07:14:148, 0, -210734, 111203, 992828, -6290078, -27335885, -39343522, 
00:07:14:160, 0, -133343, 168234, 884312, -9076338, -19679395, -46610700, 
00:07:14:175, 0, -83687, -52375, 1028343, -10725193, -17694661, -53259557, 
00:07:14:187, 0, -103703, -441500, 1016093, -8030536, -12007637, -57984749, 
00:07:14:199, 0, -63203, -64406, 1264000, -4526718, -14618324, -60412231, 
00:07:14:210, 0, 53968, 113359, 1093968, -3648856, -8541987, -63122155, 
00:07:14:222, 0, 129218, 30859, 1047484, -4335879, -4854963, -63969484, 
00:07:14:238, 0, 167875, -59921, 1493718, -3977100, 213740, -64290094, 
00:07:14:250, 0, 45171, 392484, 972609, -7396948, -1908397, -62900781, 
00:07:14:273, 0, 31296, 561281, 1107812, -14404584, -4183207, -57389329, 
00:07:14:285, 0, 35078, 274828, 1059812, -17748096, -9534353, -54702305, 
00:07:14:300, 0, 59703, 554734, 1349156, -18793898, -7038169, -54358794, 
00:07:14:312, 0, 207187, -43390, 1050750, -19190845, -328244, -55610703, 
00:07:14:324, 0, 90609, -86750, 1152203, -28244283, -2603054, -56801543, 
00:07:14:335, 0, -79656, 321000, 719765, -10778629, -4480917, -55503832, 
00:07:14:347, 0, 149890, 521671, 861375, -1122137, -9847331, -53167954, 
00:07:14:363, 0, -284828, 504203, -2417609, 213740, -14816798, -51175587, 
00:07:14:375, 0, -56859, 196281, -956312, 37465659, -27549626, -44908409, 
00:07:14:386, 0, 1202250, -97593, 2186359, 43251920, -27877870, -42297722, 
00:07:14:398, 0, -187046, -481531, -192796, 34022910, -19534356, -42358790, 
00:07:14:410, 0, 211046, 90125, 977671, 36206117, 16091607, -47572532, 
00:07:14:425, 0, -512953, 353000, 2051718, -7145040, -2801527, -42473294, 
00:07:14:437, 0, 3281, -744015, 1362765, 106870, 11335881, -43740470, 
00:07:14:449, 0, -144843, -962640, -89578, -2152672, 5114505, -41480928, 
00:07:14:460, 0, 112515, 805843, 851265, -1305343, 8206109, -40320622, 
00:07:14:472, 0, 830031, 1899921, 3731531, 2770993, 13541988, -40328255, 
00:07:14:488, 0, 229937, 71328, 1102281, -2137405, 18900768, -40618332, 
00:07:14:500, 0, -357875, 1404515, -1416796, -992366, 13137408, -40152683, 
00:07:14:511, 0, -288218, 217406, -131906, -76335, 916030, -38381690, 
00:07:14:523, 0, 115671, 209328, -950562, -11801530, 3038168, -40099248, 
00:07:14:535, 0, 219078, 244765, -132234, -17442753, 2587787, -41251920, 
00:07:14:574, 0, -244453, -871031, -1274156, -36702300, -6328246, -45099249, 
00:07:14:585, 3439, 988890, -490500, 1917609, -30045810, -23916037, -44465661, 
00:07:14:597, 3439, 386218, -697062, 1987328, -31022909, -38801537, -44358791, 
00:07:14:613, 3439, -748218, 666859, 1076593, -29854970, -45961845, -44916043, 
00:07:14:625, 3440, 692343, -380515, 118453, -26045809, -43694669, -46137417, 
00:07:14:636, 3439, 466703, -266906, 2606218, -16183210, -41267187, -45801540, 
00:07:14:648, 3439, 422593, -193984, 1685531, 564885, -45549631, -42679401, 
00:07:14:660, 3439, -199218, -45062, -287265, 13358782, -52641236, -39587797, 
00:07:14:675, 3431, 495218, -967718, 2742453, 14206110, -51793908, -35541995, 
00:07:14:687, 3420, 202921, -397156, 547609, 26053442, -47274822, -29809168, 
00:07:14:699, 3420, 55828, 550812, 3078968, 20763364, -50152686, -22877869, 
00:07:14:710, 3420, 97093, -550546, -154734, 20709929, -43022913, -17343516, 
00:07:14:726, 3420, 989156, -517187, 2992468, 13335881, -41839706, -11893133, 
00:07:14:738, 3425, -632375, -216531, 2101390, 14259546, -40389324, -7236643, 
00:07:14:750, 3420, 216031, -223203, -40218, 9175575, -41427492, -3610688, 
00:07:14:761, 3420, -168281, 304703, -19500, 2862596, -42816806, -1893130, 
00:07:14:773, 3420, -307953, 678250, -113406, 8061071, -41343523, -2290077, 
00:07:14:800, 3433, -93875, 1123218, 1131421, -2511451, -26534358, -10916033, 
00:07:14:824, 3433, 355343, -74203, 2551390, -4465650, -20190845, -19748097, 
00:07:14:835, 3424, -74312, 702796, -962187, -3923665, -23427487, -23076342, 
00:07:14:851, 3424, 160593, -541906, 664671, -5160306, -27030542, -25900770, 
00:07:14:863, 3424, -451906, -300765, 984875, -6351146, -25641228, -29099245, 
00:07:14:886, 3427, -102312, -8359, 236062, 4541986, -18274814, -31534360, 
00:07:14:898, 3434, -93593, -109671, 1402390, 3641222, -10312980, -34038177, 
00:07:14:914, 3440, 584343, 1012156, 1643015, 8480918, -2389313, -36183216, 
