Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:06:23:445, 0, 90437, -130906, 1945171, 9603056, -18503822, -11580156, 
00:06:23:460, 0, -803062, -799265, 2272187, 5656490, -13213744, -13900767, 
00:06:23:472, 0, 7343, -1223796, 699890, 9488552, -12274812, -16961836, 
00:06:23:484, 0, -446015, 281921, -576281, 12328247, -3198474, -20480921, 
00:06:23:496, 0, 471281, 890812, 733140, 7809162, -1282443, -23030541, 
00:06:23:507, 0, 222125, 412109, -216640, 9938934, 4282443, -26442755, 
00:06:23:523, 0, -103781, 307015, 284984, 8618323, 15061073, -30160314, 
00:06:23:535, 0, -47828, 386656, 846468, 7274811, 4984734, -34771002, 
00:06:23:546, 0, -548921, -189000, 1190515, 9183208, -6587788, -40709935, 
00:06:23:558, 0, -674046, -29578, 1076593, 20671761, -19465654, -45106883, 
00:06:23:570, 0, -1177859, 1528671, 5024687, 23351151, -32786269, -49061082, 
00:06:23:585, 0, -594046, -1216437, -1047187, 30572527, -43305356, -51534366, 
00:06:23:597, 0, -574468, -1035562, 1085921, 37847339, -39900774, -51664137, 
00:06:23:609, 0, 139046, -472281, 607265, 36145048, -34351155, -50679404, 
00:06:23:621, 0, -400671, 919203, 921125, 35832071, -35984743, -50763373, 
00:06:23:671, 0, -777359, 268187, 1941921, 24534358, -11083972, -47274822, 
00:06:23:683, 0, 270125, 211750, 1279531, 25511457, -13213744, -46702303, 
00:06:23:695, 0, 221234, -894062, 823171, 21839700, -21267181, -45847341, 
00:06:23:710, 0, 78750, 824906, 1195546, 18687028, -20038173, -42862607, 
00:06:23:722, 0, -311000, -399265, 188234, 22557258, -19419852, -41236653, 
00:06:23:734, 0, -504156, 60703, 1576500, 23870235, -23274815, -41122149, 
00:06:23:746, 0, -590031, -779640, 4149921, 29893138, -26045809, -41190851, 
00:06:23:757, 0, -565765, 1721031, -2063203, 28229015, -28541993, -41679401, 
00:06:23:773, 0, -397359, 452718, -793437, 26083977, -25183213, -40938943, 
00:06:23:785, 0, -252359, 1080093, -856453, 24183213, -23618327, -39931309, 
00:06:23:796, 0, 196312, -26171, 1761421, 23320617, -23610693, -38832072, 
00:06:23:808, 0, -216421, 1678125, 45406, 19015272, -22503823, -37083980, 
00:06:23:820, 0, -704203, 635953, 483406, 17946570, -29923672, -36122147, 
00:06:23:835, 0, 104843, -179125, 1840562, 20396952, -31862604, -34816803, 
00:06:23:847, 0, -147859, -38281, 2340953, 13022904, -26755732, -31061077, 
00:06:23:859, 0, -66234, -603750, 753203, 8061071, -23854968, -27312985, 
00:06:23:871, 0, -282921, -109078, 1781578, 14076339, -22717563, -24198480, 
00:06:23:882, 0, 50921, -74703, 707875, 15709928, -30206115, -22167945, 
00:06:23:898, 0, -284250, 161781, 1583765, 14290080, -32435123, -20167944, 
00:06:23:910, 0, -168218, -560562, 603390, 13625958, -34740468, -18389318, 
00:06:23:921, 0, -103281, 278890, 2574625, 9412216, -39618332, -16755730, 
00:06:23:933, 0, 121687, -73859, 255234, 6404582, -39580164, -14244278, 
00:06:23:949, 0, 222656, -271921, 485640, 4091604, -30412222, -9885499, 
00:06:23:960, 0, -17687, -442671, 611734, 6167940, -24503823, -6656490, 
00:06:23:972, 0, -387890, -206453, 1348500, 6610688, -20381685, -3625955, 
00:06:23:984, 0, 208406, -600234, 572765, 7137406, -24328251, -1893130, 
00:06:24:11, 0, 237203, 835390, 1824156, -2740458, -14961836, 3450382, 
00:06:24:23, 0, 198359, 101812, 915859, -3755726, -13816797, 6190841, 
00:06:24:35, 0, -138437, 217750, 1633125, -6068704, -9145040, 8717559, 
00:06:24:46, 0, -147312, 163609, 1580265, -6664124, -9435117, 10839697, 
00:06:24:58, 0, 96609, -2078, 980953, -5244276, -9458018, 12038171, 
00:06:24:74, 0, 159406, 57109, 2213609, -4114505, -15519088, 12687026, 
00:06:24:85, 0, 116109, -562281, -897109, -6763360, -15839699, 13358782, 
00:06:24:97, 0, 51906, 32656, 2267562, -7229009, -15251912, 13961836, 
00:06:24:109, 0, -126593, -10218, -562390, -7381681, -10045804, 13923668, 
00:06:24:121, 0, -40875, -60156, 319750, -7030536, -3335878, 13076339, 
00:06:24:160, 0, -353250, 480781, 1221000, -5152673, 2854962, 9534353, 
00:06:24:171, 0, -90546, -234093, 657875, -8328246, 3748092, 7809162, 
00:06:24:183, 0, -301593, 192000, 432750, -6473284, 6931299, 5106871, 
00:06:24:199, 0, -337281, -224468, 294562, -6862597, 7519086, 1877863, 
00:06:24:210, 0, -414703, 254562, 677734, 1267175, 5557253, -1839695, 
00:06:24:222, 0, -131234, -426921, 104046, 6312978, 3335878, -5343513, 
00:06:24:234, 0, -398375, 20156, 334375, 2625954, -5687024, -8732826, 
00:06:24:246, 0, -781703, 510281, 2233328, 7419849, -7679391, -12129774, 
00:06:24:261, 0, -204484, -215656, 281171, 8236643, -11984736, -14503821, 
00:06:24:273, 0, -371312, 127406, 1026125, 6549620, -13015270, -16305348, 
00:06:24:285, 0, -431203, 107015, 1323765, 8343513, -11908400, -19053440, 
00:06:24:296, 0, -352187, -59187, 771765, 9206109, -9969468, -21938937, 
00:06:24:308, 0, -130515, -310390, 475750, 16648859, -7816796, -25358785, 
00:06:24:324, 0, -244921, 66390, 853250, 17557257, -5801528, -27984740, 
00:06:24:335, 0, -465421, 99234, 845156, 18534356, -9549621, -30938940, 
00:06:24:347, 0, -392656, -225921, 397406, 15236645, -13931301, -32473291, 
00:06:24:371, 3427, -204890, -73578, 1048078, 11824430, -17381684, -32587795, 
00:06:24:386, 3427, -337562, 138625, 1126984, 9450384, -15954203, -31534360, 
00:06:24:398, 3427, -226093, -76796, 988765, 9458018, -13923668, -30488558, 
00:06:24:410, 3427, -175328, -656, 1318093, 10129773, -10519087, -30022909, 
00:06:24:421, 3427, -259296, 60703, 1194296, 11038171, -8404582, -28435122, 
00:06:24:433, 3425, -189953, 188484, 926156, 8374048, -9267178, -27587794, 
00:06:24:449, 3423, -207468, 38890, 927609, 7832063, -11954201, -26404587, 
00:06:24:460, 3423, -48062, -4046, 1058234, 6595421, -13351148, -25320618, 
00:06:24:472, 3423, -193312, 453890, 965921, 5435116, -13862599, -25251915, 
00:06:24:484, 3423, -68859, 794203, 784718, 3893130, -12854965, -23984739, 
00:06:24:496, 3423, -20375, 587890, 1011609, 6419849, -14167943, -24564892, 
00:06:24:511, 3423, -32468, 179656, 725312, 7786261, -9938934, -25000007, 
00:06:24:523, 3438, -109078, 15968, 1011671, 9839697, -9076338, -23793900, 
00:06:24:535, 3430, -44109, -67703, 1136843, 8305345, -8343513, -21961838, 
00:06:24:546, 3430, 27640, 112046, 885281, 5709925, -8801529, -19648860, 
00:06:24:558, 3430, 54828, 47281, 1000265, 3625955, -7427483, -17618325, 
00:06:24:574, 0, -176328, 282546, 968921, 1862595, -7564887, -15740462, 
00:06:24:585, 0, -85656, -8328, 1046218, 396946, -9152674, -14038172, 
